epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3653,0.86358,1.99934,1.26152,1.37009,0.26979,0.625,0.37399,0.16877,0.28517,0.6875,0.39729,0.19473,2.15322,1.67546,1.97673,2.75715,0.00066055,0.00066055,0.00066055
2,67.2075,0.84251,1.47147,0.65856,1.33565,0.26226,0.71875,0.29166,0.13527,0.29332,0.73958,0.33172,0.15262,1.68697,2.9515,3.28062,2.26333,0.00131408,0.00131408,0.00131408
3,98.9562,0.82682,1.45009,0.62096,1.31181,0.55994,0.61458,0.52015,0.12191,0.26829,0.34896,0.21394,0.06826,2.56172,1.61028,3.7535,3.40497,0.0019544,0.0019544,0.0019544
4,131.213,0.80593,1.37235,0.60094,1.28683,0.86734,0.97396,0.97143,0.69784,0.86231,0.95312,0.96978,0.70092,0.96066,1.4254,1.08168,1.5297,0.0019406,0.0019406,0.0019406
5,162.657,0.74636,1.30098,0.54122,1.24409,0.94885,0.96608,0.98956,0.79017,0.94885,0.96608,0.98956,0.76752,0.80099,1.38838,1.21093,1.39786,0.0019208,0.0019208,0.0019208
6,195.52,0.74579,1.30034,0.52816,1.25262,0.95775,0.94446,0.98417,0.83291,0.9631,0.9517,0.98641,0.80273,0.65177,1.32265,0.91925,1.24685,0.001901,0.001901,0.001901
7,227.237,0.70859,1.26841,0.50202,1.22512,0.96139,0.97917,0.9874,0.76988,0.96139,0.97917,0.9874,0.72638,0.8359,1.48316,0.76526,1.54737,0.0018812,0.0018812,0.0018812
8,258.501,0.69529,1.18776,0.47835,1.20987,0.95874,0.97917,0.98124,0.85767,0.95874,0.97917,0.98124,0.82645,0.56521,1.00035,0.66719,1.11409,0.0018614,0.0018614,0.0018614
9,289.377,0.65336,1.11261,0.44459,1.18385,0.90484,0.94271,0.97391,0.80314,0.90484,0.94271,0.97391,0.73674,0.64463,1.24422,0.65434,1.21844,0.0018416,0.0018416,0.0018416
10,320.466,0.64899,1.11616,0.44019,1.17627,0.97801,1,0.99427,0.82995,0.97801,1,0.99427,0.80195,0.69786,0.91187,0.50509,1.29422,0.0018218,0.0018218,0.0018218
11,353.43,0.63537,1.09521,0.44287,1.16931,0.9985,1,0.995,0.86033,0.9985,1,0.995,0.81123,0.62267,1.04972,0.38813,1.17929,0.001802,0.001802,0.001802
12,385.452,0.62903,1.0947,0.41718,1.16981,0.98436,0.98321,0.99255,0.84316,0.98436,0.98321,0.99255,0.83564,0.62606,0.91166,0.56668,1.12079,0.0017822,0.0017822,0.0017822
13,418.049,0.60529,1.07843,0.41302,1.14498,0.98435,1,0.99464,0.87724,0.98435,1,0.99464,0.85857,0.56649,0.79189,0.35211,1.08335,0.0017624,0.0017624,0.0017624
14,449.86,0.61168,1.02605,0.40581,1.14797,0.9852,0.96875,0.99362,0.84973,0.9852,0.96875,0.99362,0.82718,0.58153,0.94932,0.68974,1.11805,0.0017426,0.0017426,0.0017426
15,482.012,0.60577,1.01179,0.4013,1.14836,0.99844,1,0.995,0.87075,0.99844,1,0.995,0.83566,0.5699,0.89713,0.50813,1.10515,0.0017228,0.0017228,0.0017228
16,513.407,0.60355,1.03301,0.4028,1.15385,0.99628,0.98438,0.9941,0.85587,0.99628,0.98438,0.9941,0.84743,0.56941,0.82125,0.55556,1.18148,0.001703,0.001703,0.001703
17,546.082,0.57351,1.01717,0.37842,1.13277,0.98447,0.99081,0.99464,0.84523,0.98447,0.99081,0.99464,0.79281,0.60954,1.11631,0.5723,1.1981,0.0016832,0.0016832,0.0016832
18,578.684,0.58127,1.01337,0.3719,1.12216,0.99978,1,0.995,0.87109,0.99978,1,0.995,0.86223,0.53928,0.77285,0.42416,1.06824,0.0016634,0.0016634,0.0016634
19,612.163,0.59849,1.01756,0.39507,1.1351,1,0.99955,0.995,0.89175,1,0.99955,0.995,0.85833,0.52055,0.83071,0.3092,1.02798,0.0016436,0.0016436,0.0016436
20,645.801,0.56811,0.9649,0.368,1.12259,0.99914,1,0.995,0.87603,0.99914,1,0.995,0.85025,0.54446,0.84508,0.39936,1.07005,0.0016238,0.0016238,0.0016238
21,676.776,0.56666,0.95659,0.3677,1.12785,0.99967,1,0.995,0.86507,0.99967,1,0.995,0.84629,0.57429,0.81055,0.3932,1.12246,0.001604,0.001604,0.001604
22,707.959,0.54452,0.94303,0.35112,1.10441,0.99948,1,0.995,0.90176,0.99948,1,0.995,0.87878,0.49564,0.71683,0.32253,0.97837,0.0015842,0.0015842,0.0015842
23,739.978,0.55844,0.95029,0.35697,1.11831,0.98888,0.98958,0.99479,0.87811,0.98888,0.98958,0.99479,0.86114,0.50662,0.81433,0.37067,1.0154,0.0015644,0.0015644,0.0015644
24,772.158,0.54861,0.94438,0.34585,1.10551,0.99932,1,0.995,0.89372,0.99932,1,0.995,0.87257,0.50476,0.78755,0.28729,1.04403,0.0015446,0.0015446,0.0015446
25,804.752,0.54015,0.93842,0.34169,1.10347,0.99472,1,0.995,0.86444,0.99472,1,0.995,0.84725,0.59995,0.85644,0.31175,1.09477,0.0015248,0.0015248,0.0015248
26,836.425,0.54575,0.95026,0.35422,1.10431,0.99398,1,0.995,0.89993,0.99398,1,0.995,0.87455,0.47601,0.79911,0.29338,0.98635,0.001505,0.001505,0.001505
27,868.134,0.52617,0.92116,0.34014,1.08966,0.99441,1,0.99448,0.9069,0.99441,1,0.99448,0.87756,0.50118,0.756,0.30924,0.9759,0.0014852,0.0014852,0.0014852
28,907.024,0.52538,0.89138,0.33495,1.08179,0.99925,1,0.995,0.8903,0.99925,1,0.995,0.8763,0.51166,0.74915,0.29706,0.99821,0.0014654,0.0014654,0.0014654
29,952.314,0.50768,0.89022,0.32545,1.07927,0.99435,1,0.995,0.90573,0.99435,1,0.995,0.87024,0.49018,0.8052,0.34151,1.02355,0.0014456,0.0014456,0.0014456
30,998.201,0.51598,0.89619,0.32948,1.07838,0.99943,1,0.995,0.89121,0.99943,1,0.995,0.88217,0.50129,0.73795,0.26501,0.98802,0.0014258,0.0014258,0.0014258
31,1044.78,0.51965,0.90149,0.33106,1.0871,0.99942,1,0.995,0.89073,0.99942,1,0.995,0.87152,0.48404,0.7731,0.31913,0.97024,0.001406,0.001406,0.001406
32,1091.22,0.5102,0.85412,0.32251,1.07785,0.99962,1,0.995,0.90652,0.99962,1,0.995,0.87666,0.48376,0.74635,0.28441,0.99754,0.0013862,0.0013862,0.0013862
33,1137.48,0.51893,0.87042,0.32964,1.08837,1,0.99908,0.995,0.91361,1,0.99908,0.995,0.89213,0.49833,0.71942,0.27581,0.98704,0.0013664,0.0013664,0.0013664
34,1182.86,0.48391,0.83592,0.3057,1.0682,1,0.99921,0.995,0.90806,1,0.99921,0.995,0.87917,0.47495,0.75241,0.28324,0.98497,0.0013466,0.0013466,0.0013466
